RhythmScore,AudioLoudness,VocalContent,AcousticQuality,InstrumentalScore,LivePerformanceLikelihood,MoodScore,TrackDurationMs,Energy,Duration_min,Duration_log,Duration_band,Loudness_band,Rhythm_x_Energy,Loudness_x_Energy,Mood_x_Energy,Vocal_plus_Instr,Acoustic_minus_Energy,Live_x_Vocal,Energy_to_Acoustic,Loudness_per_min,Audio_mean,Audio_std,Audio_max,Audio_min,BeatsPerMinute
0.432,-16.9126,0.0235,0.3638,0.0,0.1244,0.4914,147801.69,0.9663,2.4634,11.9036,0.0,0.0,0.4174,-16.3421,0.4748,0.0235,-0.6024,0.0029,2.6485,-6.8657,0.3431,0.3382,0.9663,0.0,132.317
0.6426,-13.4033,0.0235,0.3967,0.1538,0.0707,0.3765,182369.88,0.4554,3.0395,12.1138,0.0,0.0,0.2926,-6.1039,0.1714,0.1773,-0.0587,0.0017,1.145,-4.4097,0.3027,0.2262,0.6426,0.0235,129.3997
0.5626,-16.9191,0.0581,0.2878,0.3191,0.0501,0.5847,271041.75,0.2982,4.5174,12.51,3.0,0.0,0.1678,-5.0453,0.1744,0.3772,-0.0104,0.0029,1.0326,-3.7454,0.3087,0.2125,0.5847,0.0501,103.0338
0.5539,-2.557,0.0915,0.1268,0.2437,0.0243,0.6068,385840.25,0.7243,6.4307,12.8632,4.0,4.0,0.4012,-1.852,0.4395,0.3352,-0.5975,0.0022,5.6678,-0.3976,0.3387,0.2831,0.7243,0.0243,132.9396
0.6923,-1.357,0.0595,0.3977,0.2716,0.2146,0.4134,262938.62,0.3674,4.3823,12.4797,3.0,4.0,0.2544,-0.4986,0.1519,0.3311,0.0303,0.0128,0.9214,-0.3097,0.3452,0.1968,0.6923,0.0595,121.7834
0.8184,-3.8021,0.0235,0.0788,0.0696,0.1424,0.479,280031.4,0.3829,4.6672,12.5427,3.0,4.0,0.3133,-1.4557,0.1834,0.0931,-0.304,0.0033,4.7964,-0.8146,0.2849,0.2913,0.8184,0.0235,89.3705
0.7489,-8.9342,0.0235,0.2534,0.0878,0.2378,0.286,262364.06,0.1668,4.3727,12.4775,3.0,2.0,0.1249,-1.4902,0.0477,0.1113,0.0866,0.0056,0.6556,-2.0432,0.2578,0.2361,0.7489,0.0235,133.1243
0.4858,-1.357,0.0235,0.4134,0.0491,0.1145,0.4749,163599.9,0.4552,2.7267,12.0052,0.0,4.0,0.2212,-0.6177,0.2162,0.0726,-0.0418,0.0027,1.0984,-0.4977,0.2881,0.214,0.4858,0.0235,139.672
0.5417,-5.7447,0.105,0.1335,0.0,0.1658,0.8264,247596.72,0.9357,4.1266,12.4196,2.0,3.0,0.5069,-5.3751,0.7732,0.105,-0.8021,0.0174,6.9545,-1.3921,0.3869,0.3787,0.9357,0.0,101.9661
0.313,-1.357,0.0505,0.995,0.0,0.2469,0.4986,258846.77,0.8913,4.3141,12.464,2.0,4.0,0.279,-1.2095,0.4444,0.0505,0.1037,0.0125,0.8949,-0.3145,0.4279,0.3901,0.995,0.0,117.7819
0.7829,-16.2407,0.0545,0.7644,0.0137,0.0558,0.8435,282594.3,0.0029,4.7099,12.5518,3.0,0.0,0.0022,-0.0466,0.0024,0.0682,0.7615,0.003,0.0037,-3.4482,0.3597,0.4102,0.8435,0.0029,90.2632
0.7748,-8.5741,0.0422,0.3434,0.4451,0.2519,0.3775,210821.62,0.8547,3.5137,12.2588,1.0,2.0,0.6622,-7.328,0.3227,0.4873,-0.5113,0.0106,2.4818,-2.4402,0.4414,0.286,0.8547,0.0422,88.5883
0.6401,-4.3739,0.1557,0.1765,0.0,0.1634,0.8114,246845.2,0.9653,4.1141,12.4165,2.0,3.0,0.6179,-4.2223,0.7833,0.1557,-0.7888,0.0254,5.4373,-1.0632,0.4161,0.3809,0.9653,0.0,94.0737
0.5845,-9.8766,0.0235,0.3975,0.1088,0.2884,0.645,161371.55,0.0495,2.6895,11.9915,0.0,1.0,0.0289,-0.4886,0.0319,0.1323,0.3481,0.0068,0.1241,-3.6722,0.2996,0.2534,0.645,0.0235,123.0578
0.4377,-5.4735,0.0235,0.4588,0.0696,0.031,0.335,217680.84,0.9851,3.628,12.2908,1.0,3.0,0.4312,-5.3917,0.33,0.0931,-0.5262,0.0007,2.1423,-1.5087,0.3344,0.3436,0.9851,0.0235,133.9198
0.5701,-10.868,0.0857,0.0,0.0,0.2857,0.7171,218658.0,0.6925,3.6443,12.2953,1.0,1.0,0.3948,-7.5257,0.4966,0.0857,-0.6925,0.0245,688.7748,-2.9822,0.3359,0.321,0.7171,0.0,149.2253
0.5271,-9.3628,0.0755,0.2796,0.0849,0.2539,0.7642,241616.81,0.0495,4.0269,12.3951,2.0,2.0,0.0261,-0.4631,0.0378,0.1604,0.2301,0.0192,0.1763,-2.325,0.2907,0.2672,0.7642,0.0495,129.163
0.6947,-8.105,0.0285,0.1049,0.0,0.1207,0.4645,169966.23,0.6129,2.8328,12.0434,0.0,2.0,0.4258,-4.9673,0.2847,0.0285,-0.5079,0.0034,5.7859,-2.8611,0.2895,0.2927,0.6947,0.0,142.0874
0.7175,-17.566,0.0578,0.0,0.0,0.3235,0.0256,252894.16,0.8481,4.2149,12.4407,2.0,0.0,0.6085,-14.8983,0.0217,0.0578,-0.8481,0.0187,843.6116,-4.1676,0.2818,0.3622,0.8481,0.0,129.1113
0.6689,-3.7089,0.0445,0.2737,0.0,0.3738,0.3556,246597.33,0.4822,4.11,12.4155,2.0,4.0,0.3226,-1.7884,0.1715,0.0445,-0.2085,0.0166,1.7551,-0.9024,0.3141,0.2354,0.6689,0.0,65.9561
0.5906,-10.6388,0.0251,0.0974,0.1331,0.2349,0.2913,266916.34,0.4399,4.4486,12.4947,3.0,1.0,0.2598,-4.6796,0.1282,0.1582,-0.3425,0.0059,4.4722,-2.3915,0.2589,0.2004,0.5906,0.0251,107.0486
0.648,-1.357,0.0782,0.4547,0.0078,0.2659,0.0256,244326.1,0.3879,4.0721,12.4063,2.0,4.0,0.2514,-0.5264,0.0099,0.086,0.0668,0.0208,0.8512,-0.3332,0.2669,0.2436,0.648,0.0078,93.953
0.3732,-9.298,0.0235,0.0,0.2125,0.3768,0.6713,230255.83,0.4722,3.8376,12.347,1.0,2.0,0.1762,-4.3905,0.317,0.236,-0.4722,0.0089,469.6825,-2.4229,0.3042,0.2425,0.6713,0.0,114.5672
0.8148,-11.634,0.0727,0.4731,0.1517,0.2546,0.3425,285786.4,0.1215,4.7631,12.563,3.0,1.0,0.099,-1.4131,0.0416,0.2244,0.3516,0.0185,0.2562,-2.4425,0.3187,0.2588,0.8148,0.0727,106.8061
0.6374,-15.9269,0.0791,0.2969,0.0,0.0243,0.6683,207572.53,0.3775,3.4595,12.2432,1.0,0.0,0.2406,-6.0119,0.2523,0.0791,-0.0805,0.0019,1.2669,-4.6038,0.2976,0.2799,0.6683,0.0,116.1962
0.6393,-1.357,0.0235,0.1328,0.0,0.1276,0.5662,151895.22,0.5918,2.5316,11.931,0.0,4.0,0.3784,-0.8031,0.3351,0.0235,-0.459,0.003,4.4244,-0.536,0.2973,0.2873,0.6393,0.0,99.0182
0.6836,-4.9639,0.0567,0.0,0.0,0.329,0.6656,255872.0,0.3482,4.2645,12.4524,2.0,3.0,0.238,-1.7284,0.2318,0.0567,-0.3482,0.0187,346.3436,-1.164,0.2976,0.2953,0.6836,0.0,53.5433
0.7026,-13.9773,0.0235,0.625,0.4423,0.3974,0.6333,230098.02,0.0228,3.835,12.3463,1.0,0.0,0.016,-0.3187,0.0144,0.4658,0.6022,0.0093,0.0364,-3.6447,0.4067,0.2835,0.7026,0.0228,131.6852
0.6433,-13.5945,0.0901,0.0,0.0229,0.0905,0.3959,244399.8,0.3905,4.0733,12.4066,2.0,0.0,0.2512,-5.3082,0.1546,0.1129,-0.3905,0.0082,388.3849,-3.3374,0.2333,0.2445,0.6433,0.0,118.0256
0.6486,-7.9822,0.0235,0.8375,0.0611,0.2246,0.8396,267722.0,0.3298,4.462,12.4977,3.0,2.0,0.2139,-2.6325,0.2769,0.0846,0.5077,0.0053,0.3933,-1.7889,0.4235,0.35,0.8396,0.0235,129.1516
0.4976,-2.0773,0.0235,0.0,0.209,0.1429,0.3945,270344.38,0.3375,4.5057,12.5075,3.0,4.0,0.1679,-0.7012,0.1332,0.2325,-0.3375,0.0034,335.7338,-0.461,0.2293,0.1888,0.4976,0.0,62.9706
0.8095,-1.357,0.0775,0.7669,0.1829,0.0243,0.7159,283041.38,0.6565,4.7174,12.5534,3.0,4.0,0.5314,-0.8908,0.4699,0.2604,0.1104,0.0019,0.8549,-0.2877,0.4619,0.3496,0.8095,0.0243,114.4667
0.744,-6.6477,0.0839,0.2927,0.0766,0.0967,0.0256,222489.45,0.4608,3.7082,12.3126,1.0,3.0,0.3428,-3.0632,0.0118,0.1605,-0.1681,0.0081,1.5691,-1.7927,0.2543,0.2651,0.744,0.0256,104.6051
0.6759,-15.0627,0.1529,0.0576,0.0,0.0243,0.4967,270170.3,0.7941,4.5028,12.5068,3.0,0.0,0.5367,-11.9608,0.3944,0.1529,-0.7364,0.0037,13.5419,-3.3452,0.3145,0.3339,0.7941,0.0,139.6131
0.975,-15.6204,0.035,0.4646,0.0,0.209,0.2389,170776.62,0.0269,2.8463,12.0481,0.0,0.0,0.0262,-0.4197,0.0064,0.035,0.4377,0.0073,0.0577,-5.488,0.2785,0.3479,0.975,0.0,139.9934
0.975,-12.2917,0.0865,0.6332,0.0,0.0866,0.4835,272314.25,0.1669,4.5386,12.5147,3.0,1.0,0.1628,-2.0519,0.0807,0.0865,0.4663,0.0075,0.2632,-2.7083,0.3474,0.3613,0.975,0.0,105.6712
0.4616,-5.6754,0.0423,0.006,0.0118,0.0243,0.6226,270432.5,0.4241,4.5072,12.5078,3.0,3.0,0.1958,-2.4068,0.264,0.0542,-0.4181,0.001,60.8212,-1.2592,0.2275,0.2648,0.6226,0.006,127.5617
0.4714,-1.357,0.0235,0.0587,0.0,0.2514,0.6789,210950.72,0.3921,3.5158,12.2594,1.0,4.0,0.1848,-0.5321,0.2662,0.0235,-0.3334,0.0059,6.565,-0.386,0.268,0.2586,0.6789,0.0,108.8259
0.475,-5.5314,0.0423,0.2589,0.0,0.0587,0.369,220582.77,0.9913,3.6764,12.304,1.0,3.0,0.4709,-5.4835,0.3658,0.0423,-0.7324,0.0025,3.8145,-1.5046,0.3136,0.3484,0.9913,0.0,107.9414
0.7153,-16.2448,0.0235,0.2599,0.1526,0.3618,0.3089,322411.53,0.2523,5.3735,12.6836,4.0,0.0,0.1805,-4.0991,0.0779,0.1761,0.0075,0.0085,0.9673,-3.0231,0.2963,0.2154,0.7153,0.0235,88.7175
0.483,-1.357,0.0235,0.223,0.0,0.3571,0.6658,253904.33,0.4175,4.2317,12.4447,2.0,4.0,0.2016,-0.5665,0.278,0.0235,-0.1945,0.0084,1.864,-0.3207,0.31,0.2436,0.6658,0.0,174.1858
0.5474,-11.1759,0.144,0.3204,0.0,0.1689,0.6195,269148.44,0.5258,4.4858,12.503,3.0,1.0,0.2878,-5.8763,0.3257,0.144,-0.2054,0.0243,1.6359,-2.4914,0.3323,0.2377,0.6195,0.0,133.5292
0.3876,-7.793,0.0703,0.0,0.0,0.0243,0.4968,205823.92,0.9499,3.4304,12.2348,1.0,2.0,0.3682,-7.4023,0.4719,0.0703,-0.9499,0.0017,944.8026,-2.2717,0.2756,0.359,0.9499,0.0,127.4676
0.7442,-5.5672,0.0774,0.1689,0.0037,0.0243,0.6908,274963.8,0.3918,4.5827,12.5244,3.0,3.0,0.2916,-2.1812,0.2707,0.0811,-0.2229,0.0019,2.3063,-1.2148,0.3002,0.3133,0.7442,0.0037,96.5433
0.4936,-2.2915,0.0454,0.0,0.0,0.1955,0.354,304481.6,0.7912,5.0747,12.6264,4.0,4.0,0.3906,-1.8131,0.2801,0.0454,-0.7912,0.0089,786.9818,-0.4516,0.2685,0.2974,0.7912,0.0,132.3474
0.5727,-10.1834,0.1389,0.9232,0.0642,0.0671,0.6433,166837.28,0.5819,2.7806,12.0248,0.0,1.0,0.3333,-5.9261,0.3743,0.2031,0.3412,0.0093,0.6297,-3.6623,0.4273,0.3372,0.9232,0.0642,111.6803
0.5471,-6.2152,0.0396,0.3968,0.1754,0.4876,0.7492,238865.89,0.2899,3.9811,12.3837,2.0,3.0,0.1586,-1.802,0.2172,0.215,0.1069,0.0193,0.7288,-1.5612,0.3837,0.2387,0.7492,0.0396,152.4274
0.4514,-7.9674,0.118,0.0167,0.0,0.1816,0.6095,232270.97,0.8417,3.8712,12.3557,2.0,2.0,0.38,-6.7059,0.513,0.118,-0.8249,0.0214,47.4458,-2.0581,0.317,0.3234,0.8417,0.0,133.2398
0.6678,-2.8734,0.1841,0.0,0.0974,0.3083,0.6529,357786.16,0.6879,5.9631,12.7877,4.0,4.0,0.4594,-1.9766,0.4491,0.2815,-0.6879,0.0567,684.1994,-0.4819,0.3712,0.2942,0.6879,0.0,80.8061
0.5888,-10.2418,0.1739,0.0959,0.0,0.2478,0.4966,264982.06,0.3149,4.4164,12.4874,3.0,1.0,0.1854,-3.2255,0.1564,0.1739,-0.219,0.0431,3.249,-2.3191,0.274,0.2113,0.5888,0.0,123.4936
0.4209,-4.7533,0.0284,0.3859,0.0,0.2486,0.652,291028.38,0.2288,4.8505,12.5812,3.0,3.0,0.0963,-1.0876,0.1492,0.0284,0.1571,0.0071,0.5914,-0.98,0.2807,0.2291,0.652,0.0,145.7616
0.8425,-15.1069,0.0292,0.2629,0.0,0.1857,0.7046,238567.81,0.0674,3.9761,12.3824,2.0,0.0,0.0568,-1.0182,0.0475,0.0292,0.1955,0.0054,0.2554,-3.7994,0.2989,0.3391,0.8425,0.0,108.592
0.6458,-11.2334,0.2359,0.2706,0.0679,0.161,0.978,213353.88,0.2998,3.5559,12.2707,1.0,1.0,0.1936,-3.3678,0.2932,0.3038,-0.0292,0.038,1.104,-3.1591,0.3799,0.3196,0.978,0.0679,68.0678
0.6634,-10.0953,0.0937,0.4731,0.0,0.4725,0.4277,272744.6,0.2511,4.5457,12.5163,3.0,1.0,0.1666,-2.5353,0.1074,0.0937,0.222,0.0443,0.5297,-2.2208,0.3402,0.2351,0.6634,0.0,62.6804
0.6114,-5.3913,0.0235,0.516,0.2564,0.1549,0.3148,290723.1,0.2884,4.8454,12.5801,3.0,3.0,0.1763,-1.5549,0.0908,0.2799,0.2276,0.0036,0.5578,-1.1127,0.3094,0.2011,0.6114,0.0235,96.9024
0.6396,-1.357,0.0852,0.096,0.0,0.0587,0.4938,303490.56,0.9583,5.0582,12.6231,4.0,4.0,0.6129,-1.3004,0.4732,0.0852,-0.8623,0.005,9.8798,-0.2683,0.3331,0.3685,0.9583,0.0,108.6375
0.8988,-13.1634,0.1051,0.5644,0.1053,0.0783,0.4932,182891.72,0.1789,3.0482,12.1167,1.0,0.0,0.1608,-2.3545,0.0882,0.2104,0.3855,0.0082,0.3164,-4.3184,0.3463,0.3137,0.8988,0.0783,147.7922
0.3313,-6.6857,0.0686,0.5341,0.0318,0.2767,0.7588,250638.34,0.6488,4.1773,12.4318,2.0,3.0,0.215,-4.3377,0.4923,0.1005,-0.1147,0.019,1.2125,-1.6005,0.3786,0.2801,0.7588,0.0318,120.9081
0.4669,-10.9482,0.1188,0.0,0.0,0.1918,0.4788,212438.62,0.4549,3.5406,12.2664,1.0,1.0,0.2124,-4.98,0.2178,0.1188,-0.4549,0.0228,452.4416,-3.0922,0.2445,0.2186,0.4788,0.0,129.3096
0.7777,-4.978,0.1409,0.0,0.0,0.1259,0.0256,226563.36,0.9023,3.7761,12.3308,1.0,3.0,0.7017,-4.4918,0.0231,0.1409,-0.9023,0.0177,897.5226,-1.3183,0.2818,0.3872,0.9023,0.0,94.0398
0.7314,-1.357,0.0235,0.1399,0.1769,0.0623,0.3717,214818.33,0.4109,3.5803,12.2776,1.0,4.0,0.3006,-0.5576,0.1527,0.2004,-0.271,0.0015,2.9162,-0.379,0.2738,0.2492,0.7314,0.0235,105.1604
0.7745,-1.357,0.0235,0.5927,0.0,0.1699,0.6513,153371.48,0.47,2.5562,11.9406,0.0,4.0,0.364,-0.6378,0.3061,0.0235,0.1227,0.004,0.7917,-0.5309,0.3831,0.3157,0.7745,0.0,89.3952
0.6838,-8.7882,0.0566,0.6469,0.0,0.3096,0.8135,232062.05,0.1075,3.8677,12.3548,2.0,2.0,0.0735,-0.945,0.0875,0.0566,0.5394,0.0175,0.166,-2.2722,0.374,0.3365,0.8135,0.0,116.8897
0.4631,-1.357,0.0235,0.3668,0.0,0.0567,0.443,270233.94,0.3435,4.5039,12.507,3.0,4.0,0.1591,-0.4662,0.1522,0.0235,0.0233,0.0013,0.9341,-0.3013,0.2424,0.2065,0.4631,0.0,85.9243
0.5717,-16.6412,0.0235,0.0,0.0,0.1701,0.5662,313971.28,0.4198,5.2329,12.6571,4.0,0.0,0.24,-6.986,0.2377,0.0235,-0.4198,0.004,417.5618,-3.1801,0.2502,0.263,0.5717,0.0,96.5534
0.8263,-1.357,0.0724,0.0991,0.4378,0.0243,0.6526,268886.5,0.3058,4.4814,12.502,3.0,4.0,0.2527,-0.415,0.1996,0.5102,-0.2067,0.0018,3.0542,-0.3028,0.3455,0.3093,0.8263,0.0243,115.4687
0.7389,-15.369,0.068,0.3577,0.1085,0.0888,0.3034,303872.44,0.3268,5.0645,12.6244,4.0,0.0,0.2415,-5.0226,0.0992,0.1766,0.0309,0.006,0.911,-3.0346,0.2846,0.2346,0.7389,0.068,126.4491
0.4841,-11.1245,0.1513,0.3326,0.2729,0.1639,0.8345,252846.77,0.0803,4.2141,12.4405,2.0,1.0,0.0389,-0.8929,0.067,0.4242,0.2523,0.0248,0.2406,-2.6398,0.3314,0.2593,0.8345,0.0803,133.0259
0.3828,-8.9977,0.1179,0.0034,0.0888,0.2717,0.4427,133904.8,0.3911,2.2317,11.8049,0.0,2.0,0.1497,-3.5193,0.1731,0.2067,-0.3878,0.032,89.7576,-4.0317,0.2426,0.1727,0.4427,0.0034,89.4678
0.7441,-4.5674,0.0235,0.1879,0.1645,0.2612,0.48,233673.66,0.734,3.8946,12.3617,2.0,3.0,0.5461,-3.3524,0.3523,0.188,-0.5461,0.0061,3.8852,-1.1728,0.3707,0.2863,0.7441,0.0235,115.3394
0.4288,-18.817,0.1222,0.0533,0.1597,0.3065,0.7075,249404.28,0.6825,4.1567,12.4268,2.0,0.0,0.2927,-12.8432,0.4829,0.282,-0.6292,0.0375,12.5616,-4.5269,0.3515,0.2654,0.7075,0.0533,98.843
0.4736,-11.3884,0.0937,0.0299,0.0,0.0709,0.4559,276725.44,0.9061,4.6121,12.5308,3.0,1.0,0.4291,-10.3187,0.4131,0.0937,-0.8761,0.0066,29.2909,-2.4693,0.29,0.3364,0.9061,0.0,159.7215
0.4616,-6.3519,0.0565,0.4986,0.0,0.308,0.978,253884.72,0.2439,4.2314,12.4446,2.0,3.0,0.1126,-1.549,0.2385,0.0565,0.2548,0.0174,0.4881,-1.5011,0.3638,0.329,0.978,0.0,78.7955
0.6738,-1.357,0.0275,0.0,0.0872,0.0243,0.2645,271021.62,0.7883,4.517,12.51,3.0,4.0,0.5312,-1.0698,0.2085,0.1147,-0.7883,0.0007,784.1304,-0.3004,0.2665,0.3309,0.7883,0.0,62.6364
0.4327,-11.7565,0.1449,0.0992,0.2799,0.1834,0.5355,291157.72,0.8076,4.8526,12.5816,3.0,1.0,0.3495,-9.4946,0.4325,0.4248,-0.7084,0.0266,8.0595,-2.4227,0.3547,0.2543,0.8076,0.0992,140.5777
0.8909,-3.2798,0.038,0.3928,0.0259,0.2979,0.978,184959.42,0.3935,3.0827,12.1279,1.0,4.0,0.3506,-1.2907,0.3849,0.0639,-0.0008,0.0113,0.9994,-1.064,0.431,0.3764,0.978,0.0259,108.7787
0.6817,-6.4358,0.1722,0.995,0.4065,0.0898,0.978,263612.9,0.2655,4.3935,12.4822,3.0,3.0,0.181,-1.7085,0.2596,0.5787,0.7295,0.0155,0.2665,-1.4648,0.5127,0.3752,0.995,0.0898,76.3285
0.7494,-11.634,0.0981,0.4199,0.0,0.0987,0.7327,220901.61,0.0746,3.6817,12.3055,1.0,1.0,0.0559,-0.8679,0.0547,0.0981,0.3453,0.0097,0.1772,-3.16,0.3105,0.3227,0.7494,0.0,107.3861
0.6689,-1.357,0.0756,0.3775,0.0,0.0545,0.7058,229138.1,0.6685,3.819,12.3421,1.0,4.0,0.4472,-0.9072,0.4719,0.0756,-0.291,0.0041,1.7661,-0.3553,0.3644,0.32,0.7058,0.0,128.6981
0.823,-5.9676,0.0972,0.0496,0.0,0.2917,0.978,309923.94,0.8983,5.1654,12.6441,4.0,3.0,0.7393,-5.3605,0.8785,0.0972,-0.8487,0.0283,17.7559,-1.1553,0.4483,0.4342,0.978,0.0,131.6877
0.5395,-8.1877,0.104,0.0,0.0867,0.1375,0.2338,126564.836,0.9063,2.1094,11.7485,0.0,2.0,0.489,-7.4208,0.2119,0.1906,-0.9063,0.0143,901.5013,-3.8815,0.2868,0.3237,0.9063,0.0,167.2553
0.975,-13.5165,0.1076,0.149,0.137,0.0243,0.5636,107772.01,0.6113,1.7962,11.5878,0.0,0.0,0.596,-8.2631,0.3446,0.2446,-0.4624,0.0026,4.0767,-7.525,0.3668,0.3543,0.975,0.0243,90.9421
0.581,-8.7628,0.099,0.0,0.249,0.0243,0.3618,301934.53,0.788,5.0322,12.618,4.0,2.0,0.4579,-6.9051,0.2851,0.348,-0.788,0.0024,783.7988,-1.7413,0.3004,0.2972,0.788,0.0,113.756
0.5569,-14.1291,0.0596,0.7114,0.0,0.0243,0.5038,205729.28,0.6618,3.4288,12.2343,1.0,0.0,0.3686,-9.3506,0.3334,0.0596,0.0496,0.0014,0.929,-4.1207,0.3597,0.3179,0.7114,0.0,148.1282
0.3964,-18.4242,0.0235,0.0,0.0,0.3768,0.4389,342784.16,0.9129,5.7131,12.7449,4.0,0.0,0.3619,-16.8188,0.4007,0.0235,-0.9129,0.0089,907.9998,-3.2249,0.3069,0.3332,0.9129,0.0,92.0765
0.7918,-12.6382,0.0866,0.0,0.1013,0.1833,0.5433,138828.97,0.4909,2.3138,11.841,0.0,0.0,0.3887,-6.2037,0.2667,0.1879,-0.4909,0.0159,488.2496,-5.462,0.3139,0.2957,0.7918,0.0,93.9088
0.975,-12.3711,0.1151,0.0574,0.0905,0.2477,0.978,220159.25,0.7837,3.6693,12.3021,1.0,0.0,0.7641,-9.6948,0.7664,0.2057,-0.7262,0.0285,13.4101,-3.3715,0.4639,0.4283,0.978,0.0574,121.4312
0.6449,-15.6129,0.1517,0.3061,0.0598,0.1605,0.938,260718.4,0.1135,4.3453,12.4712,3.0,0.0,0.0732,-1.7726,0.1065,0.2115,0.1925,0.0243,0.3697,-3.593,0.3392,0.3289,0.938,0.0598,106.7853
0.686,-4.9874,0.1341,0.4517,0.0,0.1609,0.8275,317950.03,0.4071,5.2992,12.6697,4.0,3.0,0.2793,-2.0302,0.3368,0.1341,0.0447,0.0216,0.8991,-0.9412,0.381,0.3035,0.8275,0.0,82.6648
0.4524,-15.0376,0.1011,0.0678,0.2326,0.0243,0.9241,227899.08,0.6284,3.7983,12.3367,1.0,0.0,0.2843,-9.4496,0.5807,0.3337,-0.5606,0.0025,9.1346,-3.959,0.3473,0.3364,0.9241,0.0243,85.3875
0.429,-13.5705,0.0769,0.3676,0.0612,0.2134,0.9275,273081.47,0.0448,4.5514,12.5175,3.0,0.0,0.0192,-0.608,0.0416,0.1381,0.3228,0.0164,0.1215,-2.9816,0.3029,0.3147,0.9275,0.0448,183.4708
0.5679,-2.8059,0.1469,0.2541,0.0,0.2175,0.7448,345747.78,0.8566,5.7625,12.7535,4.0,4.0,0.4865,-2.4035,0.638,0.1469,-0.6025,0.032,3.3581,-0.4869,0.3983,0.3251,0.8566,0.0,83.2935
